Company/Brand,Sector,Stage,Amount($),HeadQuarter,What it does,Founded,Investor,Founders
FoodyBuddy,Food Industry,,"$600,000 ",Belgaum,FoodyBuddy is a online food delivery portal,2015,Rebel Foods,"Akil Sethuraman, Anup Gopinath, Rachna Rao"
Habitat,EdTech,Seed,"$600,000 ",,"Habitat, a social learning edtech platform for civil service aspirants",2016,"Unitus Ventures, Whiteboard Capital","Rohit Pande, Shikhar Sachan"
SAWO Labs,SaaS platform,Seed,"$600,000 ",Mumbai,Providing Secure Authentication solutions to Apps and Websites. Eliminating Passwords and OTPs for a seamless User Experience.,2020,"StartupXseed Ventures, 100X.VC",Prabhat Sahu
Krimanshi,Biotechnology company,Seed,"$600,000 ",Jodhpur,Krimanshi aims to increase rural income by improving the productivity of Indian cattle with better quality feed.,2015,"Rajasthan Venture Capital Fund, AIM Smart City",Nikhil Bohra
Krimanshi,Biotechnology company,Seed,"$600,000 ",Jodhpur,Krimanshi aims to increase rural income by improving the productivity of Indian cattle with better quality feed.,2015,"Rajasthan Venture Capital Fund, AIM Smart City",Nikhil Bohra
Biddano,Healthcare,Pre-series A,"$600,000 ",Mumbai,India's 1st tech-enabled healthcare logistics platform.,2016,Windrose Capital,Talha Shaikh
Acculi Labs,Healthcare,Seed,"$600,000 ",Bangalore,Acculi Labs is a clinical grade smartphone based diagnostic tool,2017,Startup Basket.,"HariPrasath M., Rupam Das"
ClanConnect,Marketing startup,Seed,"$600,000 ",Delhi,"AI-driven influencer marketing platform ClanConnect.ai, which helps brands make their campaigns more data and result-oriented",,,"Kunal Kishore Sinha, Sagar Pushp"
Inspektlabs,AI,Pre series A,"$600,000 ",Delhi,Focuses on building computer vision products for physical asset inspections,2019,"Better Capital, Titan Capital","Devesh Trivedi, Sanchit"
Yolo,Transport,Seed funding,"$600,000 ",Gurugram,Intercity transportation,2019,Undisclosed,"Shailesh Gupta, Mukul Shah, Danish Chopra"
Yolo,Transport,Seed Round,"$600,000 ",Gurugram,Intercity transportation startup,2019,Undisclosed,"Shailesh Gupta, Mukul Shah, Danish Chopra"
Capital Quotient,Fintech,,"$600,000 ",Bangalore,Investment advisor,2016,Undisclosed,Sousthav Chakrabarty
Legitquest,LegalTech,,"$600,000 ",New Delhi,LegitQuest is a legal-tech company that operates a legal research platform with Indian case laws.,2017,"WaterBridge Ventures, Info Edge","Himanshu Puri, Karan Kalia, Rohit Shukla"
Fantasy Akhada,Fantasy sports,,"$600,000 ",Gurugram,Fantasy Akhada offers fantasy sports platform for cricket and football.,2020,Harsha Bhogle,Amit Purohit
ABL Workspaces,Hospitality,Pre-series A,"$600,000 ",New Delhi,ABL Workspaces is a co-working space where professionals from all walks of life come to work under one roof.,2017,Wurk,"Ankur Gupta, Akshita Gupta"
Chai Waale,Food & Beverages,,"$600,000 ",Chennai,"A wide range of exotic flavoured chai, in the most hygienic ambience at pocket-friendly prices.",2018,"Sunil Sethia, Sunil Kumar Singhvi, Manish Mardia",Vidur Maheswari
Pine Labs,Information Technology,,"$600,000 ",Noida,A merchant platform company that provides financing and last-mile retail transaction technology to merchants,1998,"Fidelity, BlackRock",Amrish Rau
Avishkaar,EdTech,Pre-series A,"$600,000 ",New Delhi,India's leading Ed-Tech startup spearheading the Maker Revolution in the sub-continent,2014,Auxano,"Rajeev Gaba, Tarun Bhalla"
Junio,FinTech,Seed,"$600,000 ",New Delhi,Junio is a kids-focused digital pocket money-smart card.,2020,"Amit Lakhotia, Pravin Jadhav",Ankit Gera
BigLeap,Recruitment,,"$600,000 ",Hyderabad,BigLeap Technologies & Solutions is focused on providing viable offshore consultancy services for enterprises looking to grow their business.,2015,Anup Kumar Yama,"Jamesh Johnson, Sainath Malkapuram Goud"
Clensta,BioTechnology,,"$600,000 ",New Delhi,A biotechnology start-up was incorporated to improve the National Hygiene condition whilst addressing the aspect of water conservation.,2016,"IAN Fund, World Startup Factory",Puneet Gupta
Cora Health,"Health, Wellness & Fitness",Seed,"$600,000 ",Bangalore,Social commerce marketplace for everyday health and wellness.,2020,Indian Angel Network,"Snigdha Kumar, Shrijit Venkatesh"
F5,Retail,Pre-series A,"$600,000 ",New Delhi,One-Stop Solution for Daily Workplace Needs,2018,Auxano Capital,"Raghav Arora, Lalit Aggarwal"
Devnagri,Translation & Localization,Seed,"$600,000 ",Noida,"Devnagri is an AI powered human translation platform, working in all 22 Indian languages.",2017,"enture Catalyst, IPV","Nakul Kundra, Himanshu Sharma"
HappyCredit,FinTech,Pre-seed,"$600,000 ",Bangalore,"HappyCredit is on a mission to make online shopping delightful for 400mn bharat shoppers with credit, rewards, shopping inspiration and more.",2020,"Kunal Shah, Krishna Kumar","Jitendra Kumar, Ashish Virmani"
Peppermint,Industrial Automation,,"$600,000 ",Pune,Intelligent Housekeeping Robots for public and working spaces,2019,"Venture Catalysts, Indian Angel Network","Runal Dahiwade, Miraj C Vora"
